Freq.	(V(v)/(-V(I)))*1000
6.16595001861477e+03	(6.00088475163142e+01dB,2.71208276760203e-01°)
6.30957344480188e+03	(6.00088593027926e+01dB,2.77524884751370e-01°)
6.45654229034650e+03	(6.00088716446743e+01dB,2.83988579367031e-01°)
6.60693448007590e+03	(6.00088845681269e+01dB,2.90602783399308e-01°)
6.76082975391976e+03	(6.00088981005510e+01dB,2.97370999132836e-01°)
6.91830970918930e+03	(6.00089122706379e+01dB,3.04296810177950e-01°)
7.07945784384132e+03	(6.00089271084285e+01dB,3.11383883348586e-01°)
7.24435960074984e+03	(6.00089426453815e+01dB,3.18635970577964e-01°)
7.41310241300911e+03	(6.00089589144349e+01dB,3.26056910884590e-01°)
7.58577575029177e+03	(6.00089759500800e+01dB,3.33650632377336e-01°)
7.76247116628685e+03	(6.00089937884289e+01dB,3.41421154297872e-01°)
7.94328234724274e+03	(6.00090124672985e+01dB,3.49372589134972e-01°)
8.12830516164092e+03	(6.00090320262832e+01dB,3.57509144761086e-01°)
8.31763771102663e+03	(6.00090525068434e+01dB,3.65835126615708e-01°)
8.51138038202369e+03	(6.00090739523910e+01dB,3.74354939961505e-01°)
8.70963589956073e+03	(6.00090964083820e+01dB,3.83073092167213e-01°)
8.91250938133737e+03	(6.00091199224124e+01dB,3.91994195053407e-01°)
9.12010839355901e+03	(6.00091445443203e+01dB,4.01122967284920e-01°)
9.33254300796982e+03	(6.00091703262881e+01dB,4.10464236815269e-01°)
9.54992586021427e+03	(6.00091973229552e+01dB,4.20022943401741e-01°)
9.77237220955802e+03	(6.00092255915336e+01dB,4.29804141135527e-01°)
9.99999999999991e+03	(6.00092551919284e+01dB,4.39813001096305e-01°)
1.02329299228074e+04	(6.00092861868623e+01dB,4.50054813973725e-01°)
1.04712854805089e+04	(6.00093186420114e+01dB,4.60534992831252e-01°)
1.07151930523760e+04	(6.00093526261438e+01dB,4.71259075895458e-01°)
1.09647819614317e+04	(6.00093882112614e+01dB,4.82232729337511e-01°)
1.12201845430195e+04	(6.00094254727533e+01dB,4.93461750284332e-01°)
1.14815362149687e+04	(6.00094644895592e+01dB,5.04952069734315e-01°)
1.17489755493952e+04	(6.00095053443304e+01dB,5.16709755593959e-01°)
1.20226443461740e+04	(6.00095481236049e+01dB,5.28741015791919e-01°)
1.23026877081237e+04	(6.00095929179937e+01dB,5.41052201431807e-01°)
1.25892541179415e+04	(6.00096398223685e+01dB,5.53649810041172e-01°)
